OCR.error,Total.error.detected,Error.after.correction,before.recall,before.precision,after.recall,after.precision
813,262,760,0.906981337019848,0.9186837367473495,0.9122148711365656,0.9237076292370763
157,56,138,0.8941058941058941,0.9193631227529533,0.9035964035964036,0.9229591836734694
1426,500,1218,0.9030540767722051,0.9187047488740665,0.9147100028019053,0.9283398737416823
162,50,142,0.9014479215319944,0.9225621414913958,0.9107893507706679,0.9290138161029061
525,171,486,0.889619765762875,0.913509060955519,0.895876784854805,0.9190256747860435
315,101,286,0.9088962892483349,0.9238394584139265,0.9157944814462416,0.9331071255453224
493,179,464,0.9064154469012768,0.9219195438707634,0.9109311740890689,0.9254864736592311
196,75,161,0.8717171717171717,0.8980228928199792,0.8893939393939394,0.9086687306501547
919,313,861,0.9078900392716887,0.9171400234424308,0.9130667618707604,0.9217046580773043
212,105,182,0.8896686159844055,0.9149959903769046,0.901364522417154,0.9259110933119744
752,248,676,0.9082136973405507,0.9112160566706021,0.9171569781124971,0.9153258954785672
780,270,728,0.907392445970511,0.9201228878648233,0.9126439103211472,0.9256376113899416
520,167,467,0.9140464296209228,0.9228601097759976,0.921833676168087,0.9314133016627079
578,199,535,0.8997227356746765,0.9099548216233058,0.9063462723351817,0.9149432436635049
1133,399,1004,0.8969556728613782,0.9163034645785625,0.906283896160243,0.9212054391767732
340,122,338,0.9041131105398458,0.9118485869847032,0.9046272493573265,0.9178403755868545
490,142,446,0.9167816726469776,0.9313052011776252,0.9228539884073972,0.9361612767744645
763,211,688,0.8821203509205486,0.9034421665401164,0.8913876189299395,0.9101690638405249
933,291,876,0.9046017699115044,0.9163603765127746,0.909646017699115,0.9243705035971223
393,134,363,0.8879658200807026,0.9049346879535559,0.895086636600997,0.9108695652173913
232,61,214,0.9014696058784235,0.9208461276015012,0.9074816299265197,0.9250936329588015
223,67,203,0.901039919490104,0.9233413544173256,0.9077490774907749,0.9257612042422169
680,262,602,0.8959050445103858,0.9173553719008265,0.9051632047477745,0.9252608590148023
246,79,217,0.8895966029723992,0.9108695652173913,0.8998584571832979,0.9177192349332371
2574,871,2355,0.8883606329816769,0.9086359280161858,0.8959605774569683,0.9155319148936171
2849,921,2651,0.8831646140950415,0.905796382633998,0.889548004384551,0.9125243906472202
