OCR.error,Total.error.detected,Error.after.correction,before.recall,before.precision,after.recall,after.precision
677,262,698,0.6162193032552827,0.6144646924829157,0.6042261564820103,0.60250569476082
150,56,156,0.6420765027322405,0.6103896103896104,0.6256830601092896,0.5948051948051948
1316,500,1287,0.6239495798319328,0.6123711340206186,0.6326530612244898,0.6209131075110457
155,50,154,0.6300268096514745,0.6025641025641025,0.6327077747989276,0.6051282051282051
517,171,519,0.5630797773654916,0.5400355871886121,0.5612244897959183,0.5382562277580071
272,101,273,0.6501272264631043,0.6526181353767561,0.648854961832061,0.6513409961685823
450,179,463,0.6281276962899051,0.6179966044142614,0.6169111302847282,0.6069609507640068
194,75,193,0.5816831683168316,0.5477855477855478,0.5841584158415841,0.5501165501165501
762,313,776,0.6281112737920937,0.6281112737920937,0.621278672523182,0.621278672523182
227,105,222,0.5802997858672377,0.5441767068273092,0.5910064239828694,0.5542168674698795
600,248,622,0.627151051625239,0.6212121212121212,0.6131293817718292,0.6073232323232324
706,270,714,0.6268656716417911,0.616304347826087,0.6224433388612494,0.6119565217391304
445,167,432,0.6482213438735178,0.6482213438735178,0.658498023715415,0.658498023715415
439,199,468,0.6342905405405406,0.6310924369747899,0.6097972972972973,0.6067226890756302
1095,399,1129,0.6042065009560229,0.5906542056074766,0.5912045889101338,0.5779439252336449
259,122,281,0.630527817403709,0.630527817403709,0.5991440798858774,0.5991440798858774
446,142,459,0.6705969049373618,0.6710914454277286,0.6610169491525424,0.661504424778761
706,211,729,0.568,0.5468549422336328,0.5526666666666666,0.5320924261874198
800,291,803,0.6269230769230769,0.6197718631178707,0.6254807692307692,0.6183460076045627
326,134,340,0.6125150421179302,0.6095808383233533,0.5956678700361011,0.592814371257485
188,61,194,0.6713780918727915,0.6690140845070423,0.6607773851590106,0.6584507042253521
249,67,252,0.576427255985267,0.5569395017793595,0.570902394106814,0.5516014234875445
706,262,719,0.6252821670428894,0.6108048511576626,0.6179458239277652,0.603638368246968
